,rep_minus_flag
0,adapting
1,professional
2,compelling
3,observant
4,welcoming
5,unifying
6,vocal
7,woman
8,engaged
9,pensive
10,consistent
11,prepared
12,advancement
13,persistent
14,comprehensive
15,spirited
16,passion
17,methodological
18,questioning
19,engagement
20,leadership
21,inspirational
22,committed
23,optimistic
24,standout
25,humorous
26,balanced
27,approach
28,listens
29,self-controlled
30,man
31,strategic
32,receptive
33,amicable
34,well-balanced
35,assurance
36,accepting
37,imaginative
38,relaxed
39,one-of-a-kind
40,content
41,standardized
42,canny
43,cognizant
44,expertise
45,capacity
46,impactful
47,self-led
48,compliments
49,constant
50,patient
51,happy
52,convincing
53,transparent
54,insightful
55,persevere
56,multi-tasker
57,cautionary
58,equitable
59,hard-working
60,intentional
61,forthright
62,devoted
63,endure
64,trusty
65,credible
66,future-focused
67,careful
68,motivated
69,seasoned
70,clear
71,influencer
72,easy-going
73,spontaneous
74,astute
75,thoughtful
76,reflective
77,unidealistic
78,serious
79,flexible
80,notable
81,invested
82,authentic
83,constructive
84,visionary
85,analyze
86,feedback
87,engaging
88,pithy
89,assured
90,structured
91,conscious
92,ordered
93,cautious
94,delivery-focused
95,satisfied
96,considered
97,calm
